,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted
0,0,3,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,33.2,1617,22,0,0
1,0,3,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,5.0,27,4,2,0
2,0,0,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,16.6,776,20,0,0
3,0,0,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,3.0,53,6,1,0
4,2,2,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,11.5,422,14,1,0
5,1,0,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,15.9,716,20,1,0
6,0,1,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,25.9,590,17,1,0
7,2,2,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,17.1,169,8,1,0
8,2,0,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,19.1,46,5,1,0
9,2,0,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,9.8,49,1,2,1
10,0,2,52720.4,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,13.7,19,3,1,0
11,3,2,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,25.9,61,5,0,0
12,0,1,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,13.7,1102,15,0,0
13,1,1,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,13.7,310,12,2,0
14,0,2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,27.1,46,4,0,0
15,2,3,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,25.6,1315,25,0,2
