,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted,Clusters,HasChildren
0,Bachelor,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,57,33.2,1617,22,0,0,3,no
1,Bachelor,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,60,5.0,27,4,2,0,2,yes
2,Bachelor,Couple,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,16.6,776,20,0,0,3,no
3,Bachelor,Couple,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,30,3.0,53,6,1,0,4,yes
4,PhD,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,33,11.5,422,14,1,0,3,yes
5,Master,Couple,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,15.9,716,20,1,0,3,yes
6,Bachelor,Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,43,25.9,590,17,1,0,3,yes
7,PhD,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,17.1,169,8,1,0,2,yes
8,PhD,Couple,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,40,19.1,46,5,1,0,4,yes
9,PhD,Couple,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,64,9.8,49,1,2,1,4,yes
